Unnamed: 0,id,name,image,start_time,end_time,key,reaction_time
46,3,baby,images/baby.png,77.598099,78.0620911,y,0.4639921
47,3,dog,images/keyboard.png,79.0691741,79.498173,n,0.4289989
0,4,snake,images/snake.png,4.4163779,4.9013231,y,0.4849452
1,4,owl,images/owl.png,5.9102795,6.4742568,y,0.5639773
2,4,hammer,images/hammer.png,7.4824173,8.055697,y,0.5732797
3,4,cow,images/bird.png,9.0647639,9.6323451,n,0.5675812
4,4,whistle,images/whistle.png,10.6412117,11.101197,y,0.4599853
5,4,dog,images/dog.png,12.1099586,12.5435555,y,0.4335969
6,4,cricket,images/chicken.png,13.5532023,14.304848,n,0.7516457
7,4,clock,images/clock.png,15.313985,15.776266,y,0.462281
8,4,gun,images/gun.png,16.7843136,17.2567045,y,0.4723909
9,4,scissors,images/whistle.png,18.2651527,18.6889922,n,0.4238395
10,4,baby,images/baby.png,19.6985663,20.267331,y,0.5687647
11,4,clock,images/duck.png,21.2753819,21.7527417,n,0.4773598
12,4,dog,images/keyboard.png,22.7603024,23.2044088,n,0.4441064
13,4,duck,images/duck.png,24.2135564,24.6984878,y,0.4849314
14,4,baby,images/scissors.png,25.7065203,26.1398456,n,0.4333253
15,4,goat,images/sheep.png,27.1490898,27.8274955,n,0.6784057
16,4,scissors,images/scissors.png,28.8363138,29.4745033,y,0.6381895
17,4,owl,images/bell.png,30.4818579,32.2584679,n,1.77661
18,4,frog,images/frog.png,33.2661039,33.6771953,y,0.4110914
19,4,train,images/rooster.png,34.6857357,35.1035785,n,0.4178428
20,4,motorcycle,images/gun.png,36.1122872,36.6297322,n,0.517445
21,4,snake,images/goat.png,37.6392721,38.1072424,n,0.4679703
22,4,cow,images/cow.png,39.1152169,39.5861978,y,0.4709809
23,4,cat,images/cat.png,40.5943709,41.1153201,y,0.5209492
24,4,motorcycle,images/motorcycle.png,42.1241715,43.3570535,y,1.232882
25,4,goat,images/goat.png,44.36406,44.8715736,y,0.5075136
26,4,bell,images/bell.png,45.8805139,46.3409863,y,0.4604724
27,4,cricket,images/cricket.png,47.3483028,48.0365836,y,0.6882808
28,4,whistle,images/train.png,49.0448714,49.5035652,n,0.4586938
29,4,rooster,images/rooster.png,50.5104559,51.0745854,y,0.5641295
30,4,chicken,images/snake.png,52.0824955,52.5290741,n,0.4465786
31,4,car,images/car.png,53.5383055,54.3153708,y,0.7770653
32,4,bird,images/bird.png,55.3235712,55.8077091,y,0.4841379
33,4,duck,images/hammer.png,56.8165256,57.1903958,n,0.3738702
34,4,frog,images/cow.png,58.1988592,58.5988269,n,0.3999677
35,4,sheep,images/owl.png,59.6076377,60.1410273,n,0.5333896
36,4,train,images/train.png,61.1494387,61.7493572,y,0.5999185
37,4,gun,images/frog.png,62.7576597,63.2493007,n,0.491641
38,4,rooster,images/motorcycle.png,64.2575676,64.7823323,n,0.5247647
39,4,bird,images/car.png,65.7892482,66.2865359,n,0.4972877
40,4,keyboard,images/clock.png,67.2945112,67.77346,n,0.4789488
41,4,bell,images/baby.png,68.7810397,69.2761189,n,0.4950792
42,4,hammer,images/cricket.png,70.2849337,70.8004336,n,0.5154999
43,4,car,images/cat.png,71.8081884,72.3663814,n,0.558193
44,4,cat,images/dog.png,73.3738816,74.2084442,n,0.8345626
45,4,keyboard,images/keyboard.png,75.2171367,75.7343848,y,0.5172481
46,4,chicken,images/chicken.png,76.7435245,77.1549434,y,0.4114189
47,4,sheep,images/sheep.png,78.1663593,78.6163498,y,0.4499905
